id,codigo,titulo,carpeta,version,nota_resumen,redistribuible,url1,url2,url3
E020,E.020,Cargas,RNE_Estructuras,2006,E.020 - Cargas,si,https://cdn.www.gob.pe/uploads/document/file/2366640/50%20E.020%20CARGAS.pdf,https://cdn-web.construccion.org/normas/rne2012/rne2006/files/titulo3/02_E/RNE2006_E_020.pdf,
E030_2026,E.030,"Diseno Sismorresistente (RM 183-2026-VIVIENDA, vigente)",RNE_Estructuras,2026,E.030 - Diseno Sismorresistente,si,https://cdn-web.construccion.org/normas/files/vivienda/RM_183-2026-VIVIENDA.pdf,,
E030_2026_RM217,E.030,Modificacion de la disposicion transitoria (RM 217-2026-VIVIENDA),RNE_Estructuras,2026,E.030 - Diseno Sismorresistente,si,https://cdn-web.construccion.org/normas/files/vivienda/RM_217-2026-VIVIENDA.pdf,,
E030_2018_historica,E.030,"Diseno Sismorresistente 2018 (historica, RM 355-2018)",RNE_Estructuras,2018,E.030 - Diseno Sismorresistente,si,https://cdn-web.construccion.org/normas/rne2012/rne2006/files/titulo3/02_E/2018_E030_RM-355-2018-VIVIENDA_Peruano.pdf,,
E031,E.031,Aislamiento Sismico (DS 030-2019-VIVIENDA),RNE_Estructuras,2019,E.031 - Aislamiento Sismico,si,https://cdn-web.construccion.org/normas/rne2012/rne2006/files/titulo3/02_E/2019_E031_DS-030-2019-VIVIENDA.pdf,https://cdn-web.construccion.org/normas/files/tecnicas/DS_030-2019-VIVIENDA_E.031.pdf,
E050,E.050,Suelos y Cimentaciones (RM 406-2018-VIVIENDA),RNE_Estructuras,2018,E.050 - Suelos y Cimentaciones,si,https://cdn.www.gob.pe/uploads/document/file/2366655/54%20E.050%20SUELOS%20Y%20CIMENTACIONES%20RM%20N%C2%B0%20406-2018-VIVIENDA.pdf,https://cdn-web.construccion.org/normas/rne2012/rne2006/files/titulo3/02_E/2018_E050_RM-406-2018-VIVIENDA.pdf,
E060,E.060,Concreto Armado (DS 010-2009-VIVIENDA),RNE_Estructuras,2009,E.060 - Concreto Armado,si,https://cdn-web.construccion.org/normas/rne2012/rne2006/files/titulo3/02_E/RNE2009_E_060.pdf,http://blog.pucp.edu.pe/blog/wp-content/uploads/sites/109/2009/08/Norma-E.060-2009.pdf,
E070,E.070,Albanileria,RNE_Estructuras,2006,E.070 - Albanileria,si,https://cdn-web.construccion.org/normas/rne2012/rne2006/files/titulo3/02_E/RNE2006_E_070.pdf,,
E090,E.090,Estructuras Metalicas,RNE_Estructuras,2006,E.090 - Estructuras Metalicas,si,https://cdn-web.construccion.org/normas/rne2012/rne2006/files/titulo3/02_E/RNE2006_E_090.pdf,,
A010,A.010,Condiciones Generales de Diseno (RM 191-2021-VIVIENDA),RNE_Arquitectura,2021,A.010 - Condiciones Generales de Diseno,si,https://cdn.www.gob.pe/uploads/document/file/2366528/35%20A.010%20CONDICIONES%20GENERALES%20DE%20DISE%C3%91O%20-%20RM%20N%C2%B0%20191-2021-VIVIENDA.pdf,https://cdn-web.construccion.org/normas/files/vivienda/RM_191-2021-VIVIENDA.pdf,
A120,A.120,Accesibilidad Universal en Edificaciones (RM 075-2023-VIVIENDA),RNE_Arquitectura,2023,A.120 - Accesibilidad Universal,si,https://waltervillavicencio.com/wp-content/uploads/2019/01/resolucion-ministerial-n-075-2023-vivienda-A.120-2023.pdf,,
A130,A.130,Requisitos de Seguridad (DS 017-2012-VIVIENDA),RNE_Arquitectura,2012,A.130 - Requisitos de Seguridad,si,https://cdn-web.construccion.org/normas/rne2012/rne2006/files/titulo3/01_A/017-2012-A130.pdf,https://limacap.org/normatividad-2019/deportes/2012_11.09_A.130%20REQUISITOS%20DE%20SEGURIDAD%20DS%20N%C2%B0%20017-2012.pdf,
IS010,IS.010,Instalaciones Sanitarias para Edificaciones,RNE_Instalaciones,2006,IS.010 - Instalaciones Sanitarias,si,https://cdn-web.construccion.org/normas/rne2012/rne2006/files/titulo3/03_IS/RNE2006_IS_010.pdf,,
